course,professor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Other
AASP498K,Jason Nichols,11,59,48,24,34,10,2,5,6,0,0,0,8,11,12
AASP498N,Oscar Barbarin,3,1,0,5,3,1,6,2,1,0,1,0,0,0,1
AASP498O,Jason Nichols,29,47,30,14,16,23,5,4,4,0,1,0,4,6,2
AASP498P,Laszlo Korossy,3,22,26,6,4,2,2,1,0,0,1,0,1,3,7
AASP498Q,Robert Turner,4,7,8,4,12,5,3,2,3,0,1,0,4,4,0
AASP498W,Jonathan England,4,47,81,49,52,31,5,10,5,0,3,0,6,12,18
AASP498Y,Melinda Chateauvert,0,7,5,0,3,1,0,0,0,0,0,0,0,1,0
AASP499A,Oscar Barbarin,2,3,3,5,1,5,1,5,0,0,5,0,2,3,0
AASP499C,Sangeetha Madhavan,1,7,7,7,8,5,0,10,5,0,4,0,3,5,0
AASP499G,Odis Johnson,0,5,0,3,3,4,1,0,1,0,0,0,1,1,0
AASP499M,Christopher St.Vil,1,6,7,4,2,4,5,2,1,0,0,0,2,2,0
AASP499N,Leila Batties,20,27,4,12,25,6,5,18,14,0,0,0,3,8,6
AASP499P,Jonathan England,3,37,66,50,39,10,2,13,0,0,2,1,4,5,17
AASP499P,Kameron Patterson,36,13,1,0,1,0,0,0,0,0,0,0,3,2,1
AASP499Q,Gniesha Dinwiddie,1,15,11,5,19,6,5,3,0,0,0,1,1,2,2
AASP499S,Caryn Bell,2,2,4,0,0,2,0,0,0,0,0,0,0,0,6
AASP499T,Joseph Richardson,14,19,12,19,14,10,15,6,6,1,1,1,2,12,13
AAST200,Binod Paudyal,88,59,33,7,2,3,1,1,0,0,0,0,1,5,1
AAST200,Janelle Wong,12,63,32,30,22,30,9,9,7,5,1,0,2,9,3
AAST200,Jeannette Soon-Ludes,0,28,11,5,0,3,0,0,0,0,0,0,0,4,0
AAST200,Jennifer Cho,35,51,14,7,3,7,0,0,1,0,0,0,0,2,1
AAST200,Julie Park,5,76,77,36,65,25,22,12,8,3,2,1,9,13,8
AAST200,Neha Singhal,0,3,14,6,1,5,1,1,1,0,0,0,1,3,0
AAST200,Terry Park,13,68,42,23,10,4,1,4,0,0,0,0,1,8,14
AAST201,Douglas Ishii,13,6,6,2,6,1,0,0,0,0,0,0,1,1,0
AAST201,Janelle Wong,18,11,3,0,3,0,0,1,0,0,0,1,1,1,0
AAST201,Lisa Mar,2,33,49,27,16,12,2,2,1,0,1,0,5,12,1
AAST201,Patrick Chung,12,15,10,11,6,16,1,3,2,0,0,0,2,4,0
AAST201,Shuji Otsuka,0,1,6,6,10,9,2,5,3,0,1,1,4,3,0
AAST201,Terry Park,15,65,59,56,31,16,8,6,2,1,0,1,7,13,21
AAST222,Douglas Ishii,14,7,10,0,3,2,0,1,0,0,0,0,1,1,1
AAST222,Jeannette Soon-Ludes,7,9,12,1,4,2,0,1,0,0,0,0,0,2,1
AAST222,Julie Park,1,40,32,33,19,17,7,14,8,3,4,2,3,15,1
AAST233,Andy Yeh,6,27,23,14,7,5,2,2,0,0,1,0,1,4,1
AAST233,Da Som Lee,0,14,9,4,2,0,0,0,0,0,0,0,0,1,0
AAST233,James Rankin,8,1,14,1,0,3,0,0,0,3,0,0,0,1,0
AAST233,Jennifer Cho,0,31,3,4,1,0,0,0,0,0,0,0,1,0,0
AAST233,Katie Bramlett,0,5,8,6,0,1,1,2,1,0,0,1,0,3,1
AAST233,Kerishma Panigrahi,0,9,9,3,1,0,0,0,0,0,0,0,1,1,6
AAST233,Lawrence-Minh Davis,0,15,35,29,112,19,19,9,2,0,6,1,10,19,5
AAST298A,Ilyas Abukar,1,3,0,0,0,0,0,0,0,1,2,0,0,0,0
AAST298A,Jisun Min,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0
AAST298G,Jennifer Cho,0,33,7,3,5,0,1,0,0,0,0,0,0,1,0
