prereq,course
CHEM242,CHEM271
CHEM247,CHEM271
CHEM241,CHEM272
CHEM242,CHEM272
CHEM247,CHEM272
CHEM241,CHEM276
CHEM242,CHEM276
CHEM247,CHEM276
CHEM241,CHEM277
CHEM242,CHEM277
CHEM247,CHEM277
CHEM241,CHEM316
CHEM242,CHEM316
CHEM247,CHEM316
CHEM271,CHEM316
CHEM276,CHEM316
CHEM272,CHEM316
CHEM277,CHEM316
CHEM276,CHEM401
CHEM271,CHEM401
CHEM247,CHEM401
CHEM241,CHEM401
CHEM272,CHEM425
CHEM271,CHEM425
CHEM276,CHEM425
CHEM277,CHEM425
CHEM131,CHEM433
CHEM135,CHEM433
CHEM146,CHEM433
CHEM276,CHEM480
CHEM271,CHEM480
CHEM277,CHEM480
CHEM272,CHEM480
MATH141,CHEM480
MATH136,CHEM480
PHYS260,CHEM480
PHYS261,CHEM480
PHYS132,CHEM480
CHEM135,CHEM481
CHEM271,CHEM481
CHEM272,CHEM481
CHEM276,CHEM481
CHEM277,CHEM481
CHEM135,CHEM482
CHEM271,CHEM482
CHEM272,CHEM482
CHEM276,CHEM482
CHEM277,CHEM482
CHEM481,CHEM483
CHEM481,CHEM484
CHEM483,CHEM484
CHEM482,CHEM484
CHEM247,CHEM498N
CHEM241,CHEM498N
BCHM461,CHEM498N
BCHM462,CHEM498N
CHEM482,CHEM623
CHEM482,CHEM625
CHEM131,CHEM633
CHEM135,CHEM633
CHEM146,CHEM633
CHEM641,CHEM648N
PHYS603,CHEM703
CHEM687,CHEM703
CHIN101,CHIN102
CHIN101,CHIN103
CHIN201,CHIN203
CHIN202,CHIN204
CHIN301,CHIN302
CHIN204,CHIN307
CHIN401,CHIN402
CHIN302,CHIN403
CHIN306,CHIN403
CHIN402,CHIN411
PHYS603,CHPH703
CHEM687,CHPH703
ENGL245,CINE302
FILM245,CINE302
CINE245,CINE302
ENGL245,CINE319F
FILM245,CINE319F
CINE245,CINE319F
CINE283,CINE319F
FILM283,CINE319F
SLLC283,CINE319F
ENGL245,CINE329F
FILM245,CINE329F
CINE245,CINE329F
SLLC283,CINE329F
CINE283,CINE329F
FILM283,CINE329F
ENGL245,CINE342
FILM245,CINE342
CINE245,CINE342
ENGL245,CINE359E
FILM245,CINE359E
CINE245,CINE359E
CINE283,CINE359E
FILM283,CINE359E
SLLC283,CINE359E
ENGL245,CINE369K
FILM245,CINE369K
CINE245,CINE369K
CINE283,CINE369K
FILM283,CINE369K
SLLC283,CINE369K
ENGL275,CINE376
ARHU275,CINE376
ARHU375,CINE376
THET340,CINE376
