professor,avg_gpa,total_grades
Andrew McMillan,4.0,22
Andrew Milacci,3.498333333333333,120
Andrew Muir,3.8967948717948717,156
Andrew Nolan,3.8260869565217392,23
Andrew Nynka,3.178181818181818,110
Andrew Otis,2.693333333333334,15
Andrew Pressman,3.6832142857142856,280
Andrew Ristvey,3.683774834437086,302
Andrew Rose,3.7624999999999997,16
Andrew Roud,3.754054054054054,37
Andrew Schiffmacher,3.729032258064516,31
Andrew Schonebaum,3.663186318631863,1111
Andrew Sherman,3.5357142857142856,322
Andrew Siegel,3.3428571428571425,7
Andrew Smith,2.7228235294117646,425
Andrew Stocking,3.4569444444444444,72
Andrew Sweeting,3.265507246376812,345
Andrew Venezia,3.63,10
Andrew Welch,3.5999999999999996,9
Andrew White,3.9,17
Andrew Williams,3.2384353741496597,294
Andrew Wolvin,3.5621951219512193,1148
Andrey Peytchev,3.663829787234042,47
Andrienne Palchick,3.975,12
Andris Skuja,3.6244358165493815,4121
Andy Yeh,3.403007518796992,266
Aneesh Rai,3.7703389830508476,118
Aneta Georgievska-Shine,3.2268108108108104,925
Ang Li,3.8073170731707315,41
Angel Dunbar,3.152941176470588,221
Angela Bies,3.844807121661721,337
Angela Black,2.9971542401821285,1757
Angela Bryl,3.951282051282051,39
Angela Forest,3.692857142857143,14
Angela Hausman,3.2424999999999997,40
Angela Jackson,3.8237430167597766,716
Angela Jones,3.341479634247714,2406
Angela Marusiak,3.452631578947368,19
Angela Mazur-Gray,3.867241379310345,58
Angela McRae,3.6962264150943396,106
Angela Pico Pinto,3.353623188405797,69
Angela Rodgers-Koukoui,3.8313725490196076,51
Angela Stoltz,3.8157894736842106,285
Angela Treacy,3.7486486486486483,37
Angela Vaughn,,0
Angela Zavaglia,3.8324324324324324,111
Angelica Alonso,3.6013333333333337,150
Angelica Eddington,3.882394366197183,142
Angelica Montoya Avila,4.0,9
Angelica Smith,3.467948717948718,78
Angelisa Gillyard,3.61625,160
Angelo Picardello,3.053846153846154,104
Angus Murphy,3.69409594095941,271
Ani Matson,3.624590163934426,61
Anika Prather,3.6374999999999997,24
Anil Deane,3.942613636363636,352
Anil Gupta,3.552646638054363,699
Anindo Roy,3.7219008264462814,242
Anirudha Sahoo,2.8586206896551727,29
Anisha Campbell,4.0,6
