stop_id,title,lat,long,stop_title
founclap,Riverdale Rd at Fountain Club Apartments,38.9600285,-76.8795845,Riverdale Rd at Fountain Club Apartments
rivemaho,Riverdale Rd and Mahoney Dr,38.9595921,-76.8776599,Riverdale Rd and Mahoney Dr
herisqap,Riverdale Rd at Heritage Square Apartments,38.9585214,-76.8752214,Riverdale Rd at Heritage Square Apartments
annarive,Annapolis Rd and Riverdale Rd,38.9554776,-76.8735862,Annapolis Rd and Riverdale Rd
harkanna,Harkins Rd and Annapolis Rd,38.9523513,-76.8776441,Harkins Rd and Annapolis Rd
ncarmetr,New Carrollton Metro Station,38.950275,-76.872531,New Carrollton Metro Station
lenocrap,85th Ave at Lenox Court Apartments,38.9538912,-76.86878,85th Ave at Lenox Court Apartments
carrmnap,85th Ave at Carrollton Manor Apartments,38.9560194,-76.8682799,85th Ave at Carrollton Manor Apartments
long85th,85th Ave and Longfellow St,38.9595984,-76.8697998,85th Ave and Longfellow St
lega85th,85th Ave and Legation St,38.9607897,-76.86988,85th Ave and Legation St
westmadi,Westbrook Dr and Madison St,38.9623382,-76.8702329,Westbrook Dr and Madison St
westogle,Westbrook Dr and Oglethorpe St,38.9642507,-76.8715631,Westbrook Dr and Oglethorpe St
westpowh,Westbrook Dr and Powhatan St,38.9655375,-76.8730066,Westbrook Dr and Powhatan St
westlamo,Westbrook Dr and Lamont Dr,38.9658,-76.8802797,Westbrook Dr and Lamont Dr
lamolarc,Lamont Dr and Larchwood St,38.9678768,-76.8798726,Lamont Dr and Larchwood St
lamocarr,Lamont Dr and Carrollton Pkwy,38.9693724,-76.8801133,Lamont Dr and Carrollton Pkwy
lamoquen,Lamont Dr and Quentin St,38.9718528,-76.8807906,Lamont Dr and Quentin St
lamodono,Lamont Dr and Donoghue Dr,38.9746629,-76.8821712,Lamont Dr and Donoghue Dr
lamoelem,Good Luck Rd at Lamont Elementary School,38.97497,-76.8838799,Good Luck Rd at Lamont Elementary School
gdlknash,Good Luck Rd and Nashville Rd,38.9746889,-76.8864035,Good Luck Rd and Nashville Rd
gdlkian,Good Luck Rd and Ian St,38.9725315,-76.8912732,Good Luck Rd and Ian St
aubuches,Auburn Ave and Chestnut Ave,38.9714872,-76.893795,Auburn Ave and Chestnut Ave
aubu3rd,Auburn Ave and 3rd St,38.9691259,-76.8948129,Auburn Ave and 3rd St
aubu1st,Auburn Ave and 1st St,38.96631,-76.8960399,Auburn Ave and 1st St
auburive,Auburn Ave and Riverdale Rd,38.9650301,-76.8966299,Auburn Ave and Riverdale Rd
wildshop,Riverdale Rd at Wildercroft Shopping Center,38.9644101,-76.8978744,Riverdale Rd at Wildercroft Shopping Center
rive67ct,Riverdale Rd and 67th Ct,38.9618134,-76.9023121,Riverdale Rd and 67th Ct
rive64th,Riverdale Rd and 64th Ave,38.9612295,-76.907408,Riverdale Rd and 64th Ave
rive62nd_in,Riverdale Rd and 62nd Place,38.9607608,-76.9120177,Riverdale Rd and 62nd Place
rive58th,Riverdale Rd at St Jude Lutheran Church,38.9601372,-76.915671,Riverdale Rd at St Jude Lutheran Church
ewhwtayl_in,East-West Hwy and Taylor Rd (Inbound),38.9624905,-76.9290223,East-West Hwy and Taylor Rd (Inbound)
baltsher,Baltimore Ave and Sheridan St,38.9657284,-76.9388188,Baltimore Ave and Sheridan St
ngarmo,Baltimore Ave at National Guard Armory,38.9683105,-76.9384612,Baltimore Ave at National Guard Armory
baltrive_in,Baltimore Avenue at Riverdale Park Station (Inbound),38.9697021,-76.9382695,Baltimore Avenue at Riverdale Park Station (Inbound)
baltamhe,Baltimore Ave and Amherst Rd,38.9728518,-76.937862,Baltimore Ave and Amherst Rd
campmath_m,Campus Dr at Math Slip,38.9878607,-76.9386064,Campus Dr at Math Slip
baltmacd,Baltimore Avenue and Berwyn House Road,38.9923857,-76.9331919,Baltimore Avenue and Berwyn House Road
baltqueb_out,Baltimore Ave and Quebec St(Outbound),38.9946079,-76.9322248,Baltimore Ave and Quebec St(Outbound)
balttecu,Baltimore Avenue and Tecumseh Street,38.9974284,-76.9315668,Baltimore Avenue and Tecumseh Street
rhoduniv,Rhode Island Avenue and University Boulevard (Outbound),39.0009848,-76.92481,Rhode Island Avenue and University Boulevard (Outbound)
