stop_id,title
wdiapknr_d,West Diamond Ave Park & Ride Lot
brokride,Broken Land Park & Ride East Lot
greeseve_ob,Greenbelt Rd at Severn Building (Outbound)
greestat_ob,Greenbelt Road and Greenbelt Station Parkway (Outbound)
gree60th_ob,Greenbelt Rd and 60th Ave
60thgree_ob,60th Ave and Greenbelt Rd (Outbound)
60thruat_ob,60th Ave and Ruatan St (Outbound)
cunnpont,Cunningham Dr and Pontiac St
pont63rd_ob,Pontiac St and 63rd Ave (Outbound)
westpark_ob,Westchester Park Circle
ridgivy_ob,Ridge Road and Ivy Lane
ivylast_ob,Ivy Lane and Lastner Lane
lastjuli_ob,Lastner Lane and Julian Court (Outbound)
ridgrese_ob,Ridge Road and Research Road (Outbound)
ridgplat_ob,Ridge Road and Plateau Place (Outbound)
ridgeast_ob,Ridge Road and Eastway (Outbound)
ridggard_ob,Ridge Road and Gardenway (Outbound)
ridggrid,Ridge Road at Green Ridge House Apartments
westridg_ob,Westway and Ridge Road (Outbound)
lakewest_ob,Lakeside Drive and Westway (Outbound)
lakegree_ob,Lakecrest Drive and Greenbelt Road (Outbound)
greegree_ob,Greenbelt Rd at Greenway Center (Outbound)
oraghano_ob,Ora Glen Dr and Hanover Pkwy
oraggree_ob,Ora Glen Dr and Greenbrook Dr
oragmorr,Ora Glen Drive and Morrison Drive
mandcann_ob,Mandan Rd and Canning Terr
mandgoak_d,Mandan Rd at Glen Oaks Apartments
mandhano_ib,Mandan Rd and Hanover Pkwy
hanoelea_ib,Hanover Pkwy at Eleanor Roosevelt High School
hanogree_ib,Hanover Pkwy and Greenbelt Rd
greegreei_ib,Greenbelt Rd at Greenway Center (Inbound)
lakegree_ib,Lakecrest Drive and Greenbelt Road (Inbound)
lakelake_ib,Lakecrest Dr and Lakeside Dr
lakewest_ib,Lakeside Dr and Westway (Inbound)
westridg_ib,Westway and Ridge Rd (Inbound)
ridgsout_ib,Ridge Rd and Southway
ridggard_ib,Ridge Rd and Gardenway (Inbound)
ridgeast_ib,Ridge Rd and Eastway (Inbound)
ridgplat_ib,Ridge Rd and Plateau Pl (Inbound)
ridgrese_ib,Ridge Rd and Research Rd (Inbound)
lastjuli_ib,Lastner Ln and Julian Ct (Inbound)
lastivy_ib,Lastner Ln and Ivy Ln
ivyridg_ib,Ivy Ln and Ridge Rd
westpark_ib,Westchester Park Circle
pont63rd_ib,Pontiac St and 63rd Ave (Inbound)
pontcunn_ib,Pontiac St and Cunningham Dr
ruat60th_ib,60th Ave and Ruatan St (Inbound)
gree60th_ib,60th Ave and Greenbelt Rd (Inbound)
greestat_ib,Greenbelt Road and Greenbelt Station Parkway (Inbound)
greerhod_ib,Greenbelt Rd at Severn Building (Inbound)
enclave,The Enclave
bowiuniv,Bowie State University
