name,code,id,long,lat
Parking Lot XX1,,P226,-76.93561729,38.9900403
Parking Lot XX2,,P227,-76.93679682,38.99147625
Parking Lot XX4,,P229,-76.93782648,38.99316725
Parking Lot XX5,,P233,-76.93692095,38.9909658
Parking Lot Y,,P230,-76.94199775,38.9840286
Parking Lot YC,,P231,-76.94803886,38.993677
Parking Lot Z,,P240,-76.94855148,38.98813685
Parking Lot Z*,,P232,-76.9467581,38.9887473
Parking Lot Z1,,P238,-76.9475152,38.9890159
Patapsco Building,PAT,805,-76.92494299,38.9767149
Patuxent Building,,10,-76.94348376,38.98863025
Pest Control Trailer,,385,-76.93359229,38.98515375
Phi Kappa Tau,,130,-76.93463845,38.9845988
Phi Sigma Sigma Sorority,,171,-76.93560711,38.9813563
Physical Distribution Center (Terrapin Trader),,383,-76.92922797,38.9819567
Physics Building,PHY,82,-76.9400772,38.9886972
Pi Kappa Alpha Fraternity,,127,-76.93620048,38.9846297
Plant Operations and Maintenance,,217,-76.93400283,38.98600515
Plant Operations and Maintenance Shop Building,,55,-76.93345915,38.98503875
Plant Operations and Maintenance Shop2,,101,-76.93440447,38.98657335
Plant Operations and Maintenance Shop3,,212,-76.9342274,38.9867869
Plant Operations and Maintenance Shops,,6,-76.93452175,38.9858077
Plant Operations and Maintenance Warehouse,,12,-76.93398463,38.98636865
Plant Science Building,PLS,36,-76.94135962,38.98873715
Pocomoke Building,,7,-76.93716014,38.98295055
Police Impound,,P249,-76.93125476,38.98301005
Police Substation,,18,-76.93558376,38.9825402
Potomac Building,,92,-76.93830195,38.9903918
Preinkert Field House,PKT,54,-76.94613207,38.9844511
Presidents Residence,,164,-76.95234995,38.9885031
Prince Georges Hall,PGG,21,-76.94182673,38.9825857
Pump House,,200,-76.9465122,38.9886431
Queen Annes Hall,QAN,61,-76.94600685,38.98519025
Reckord Armory,ARM,78,-76.93896621,38.9860268
Recreation Artificial Turf Field,,D102,-76.93918207,38.9954899
Recycling Center,,107,-76.93721416,38.99566315
Regents Drive Parking Garage,,202,-76.94145828,38.9897313
Research Greenhouse,,398,-76.9429962,38.997127
Ritchie Coliseum,RIT,4,-76.93645645,38.98504805
Robert E. Taylor Softball Stadium,,409,-76.93974582,38.99629445
Rosenbloom Hillel Center for Jewish Life,,C105,-76.94875031,38.98270895
Rossborough Inn,,80,-76.93761168,38.9853423
Route One Annex,,E8400,-76.9332764,38.99373045
Samuel Riggs IV Alumni Center,,407,-76.94907136,38.9894604
Satellite Central Utilities Building 1,SCUB 1,19,-76.9404484,38.98202525
Satellite Central Utilities Building 2,SCUB 2,67,-76.94465453,38.9835376
Satellite Central Utilities Building 3,SCUB 3,392,-76.94595122,38.98909655
Satellite Central Utilities Building 4,SCUB 4,405,-76.9383176,38.98979345
